loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,address
16475, 60 months,19.99,436.4,E,E3,Logistics and Tranportation,10+ years,MORTGAGE,55000,Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,20.18,Jun-93,7,0,38742,88.5,29,w,INDIVIDUAL,3,0,"509 Larry Roads
Port Megan, IA 48052"
10150, 36 months,19.22,373.19,D,D4,Team Lead Loss Mitigation-FHLMC,2 years,RENT,48360,Source Verified,Feb-14,Fully Paid,debt_consolidation,Debt consolidation,27.47,Sep-09,9,0,8006,69.6,18,f,INDIVIDUAL,0,0,"220 Sullivan Pines
East Jean, FL 30723"
15250, 36 months,16.29,538.34,C,C4,Commonwealth of massachusetts,5 years,RENT,44000,Not Verified,May-13,Fully Paid,debt_consolidation,Bills,24.3,Oct-98,17,0,12775,92.6,24,f,INDIVIDUAL,1,0,"462 Wolf Meadow Suite 348
Derekshire, KS 00813"
20000, 60 months,25.89,597.51,G,G3,NYC  Human Resource Administration,4 years,OWN,90000,Verified,Jul-13,Charged Off,wedding,Wedding ,29.21,Jan-99,12,0,6245,35.3,24,w,INDIVIDUAL,0,0,"2340 Veronica Extension Suite 429
Houseland, ID 93700"
6900, 36 months,16.99,245.97,D,D3,3rd Grade Teacher,< 1 year,MORTGAGE,39000,Verified,Aug-14,Fully Paid,home_improvement,Home improvement,6.46,Jun-99,5,2,3787,30.8,15,f,INDIVIDUAL,3,0,"0419 Thompson Isle Suite 419
East Jacquelineview, OR 05113"
20400, 60 months,18.24,520.7,D,D5,Sales Representative,4 years,RENT,51000,Source Verified,Aug-14,Charged Off,debt_consolidation,Debt consolidation,32.72,Oct-94,25,1,13284,26,38,w,INDIVIDUAL,0,0,"95540 Barnes Summit Suite 139
North Corey, MI 93700"
2400, 36 months,8.18,75.41,B,B1,Grounds keeper,2 years,RENT,49464,Not Verified,Jul-15,Fully Paid,other,Other,17.2,May-96,8,0,2619,54.6,25,w,INDIVIDUAL,2,0,"Unit 9645 Box 3794
DPO AA 22690"
4200, 36 months,14.54,144.66,D,D1,etr associates,5 years,RENT,41000,Not Verified,Mar-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,4.45,May-07,6,0,4009,87.5,7,f,INDIVIDUAL,,0,"0815 Veronica Branch
Robinsonton, MN 05113"
3000, 36 months,9.49,96.09,B,B2,Staff Assistant,10+ years,MORTGAGE,65839,Source Verified,Jul-16,Fully Paid,debt_consolidation,Debt consolidation,8.55,Jun-05,7,0,9915,73.4,23,w,INDIVIDUAL,4,0,"PSC 2605, Box 5324
APO AA 48052"
25000, 36 months,12.12,831.8,B,B3,,10+ years,RENT,90000,Source Verified,Mar-12,Fully Paid,other,Major Purchase,15.53,Jan-01,12,0,14281,58.3,22,f,INDIVIDUAL,,0,"87600 Connie Inlet Suite 338
West Gabriel, NM 30723"
6625, 36 months,14.09,226.72,B,B5,home depot,10+ years,RENT,42000,Verified,May-13,Fully Paid,credit_card,consoladate,4.51,Jan-00,7,1,3974,40.1,36,f,INDIVIDUAL,6,1,"881 Harris Skyway Suite 307
Kellystad, ND 05113"
28000, 36 months,8.19,879.88,A,A5,Pharmacist,2 years,RENT,100000,Source Verified,Nov-14,Fully Paid,credit_card,Credit card refinancing,19.92,Jan-01,22,0,48323,70.9,45,w,INDIVIDUAL,3,0,"PSC 5298, Box 0538
APO AE 00813"
6625, 36 months,15.8,232.27,C,C3,ability house,10+ years,OWN,25000,Not Verified,May-13,Charged Off,credit_card,Credit card refinancing,19.34,Apr-00,13,0,13682,69.1,21,w,INDIVIDUAL,0,0,"05352 Charles Parkways Apt. 066
West Deborahland, NJ 30723"
35000, 60 months,22.99,986.47,F,F1,Half owner,8 years,OWN,250000,Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,14.62,Sep-87,7,0,657,32.8,31,w,INDIVIDUAL,8,0,"0753 Thomas Rue Apt. 166
West Beth, CO 70466"
4000, 36 months,11.53,131.97,B,B5,office Manager,10+ years,MORTGAGE,60000,Not Verified,May-15,Fully Paid,credit_card,Credit card refinancing,15.7,Aug-98,5,2,14014,67.1,11,f,INDIVIDUAL,3,0,"4349 Lisa Estate
West Susan, DE 05113"
8275, 36 months,9.25,264.11,A,A5,Candy Maker,10+ years,OWN,25000,Source Verified,Oct-13,Fully Paid,debt_consolidation,Debt consolidation,31.87,Oct-93,10,0,15486,46.8,15,f,INDIVIDUAL,0,0,"216 Matthew Port Suite 231
Stephanieburgh, OK 22690"
17000, 60 months,8.39,347.89,A,A5,Charge Nurse,7 years,MORTGAGE,76000,Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,20.39,Feb-01,22,0,2172,2.4,35,w,INDIVIDUAL,4,0,"529 Newton Mews Suite 951
Lake Mark, VT 30723"
35000, 36 months,12.29,1167.36,C,C1,Comptroller,10+ years,MORTGAGE,130000,Source Verified,Sep-15,Charged Off,debt_consolidation,Debt consolidation,25.29,Jan-03,15,0,30712,75.3,28,w,INDIVIDUAL,2,0,"10575 Maxwell Islands
Kimberlymouth, IA 93700"
18000, 36 months,6.03,547.84,A,A1,water plant operator,2 years,MORTGAGE,42000,Not Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,6.74,Jan-95,4,0,6706,21.2,27,f,INDIVIDUAL,6,0,"USNS Roberts
FPO AA 11650"
15000, 36 months,16.29,529.51,C,C4,USAF,9 years,RENT,72000,Source Verified,Nov-12,Fully Paid,debt_consolidation,Pay Bills,23.63,Oct-05,9,0,12468,64.8,27,f,INDIVIDUAL,0,0,"483 Roth Stravenue Suite 634
Lake Brandon, DE 70466"
13000, 36 months,11.67,429.74,B,B4,,,RENT,58000,Verified,Oct-14,Charged Off,debt_consolidation,Debt consolidation,30.56,Jul-88,17,0,12275,44.6,48,f,INDIVIDUAL,2,0,"USNS Hawkins
FPO AA 70466"
21150, 36 months,13.11,713.75,B,B4,"Audience, Inc.",2 years,RENT,52000,Not Verified,Jan-13,Fully Paid,debt_consolidation,Demolish Credit Card Debt,23.26,May-00,15,0,25926,54.5,27,f,INDIVIDUAL,0,0,"65042 Lane Course Apt. 041
Sandersview, NV 22690"
17325, 60 months,14.33,406.1,C,C2,four seasons hotel,6 years,RENT,40000,Source Verified,Sep-13,Fully Paid,debt_consolidation,Debt consolidation,24,Aug-01,9,0,14326,58.7,15,f,INDIVIDUAL,0,0,"5760 Jennifer Underpass Apt. 998
East Jessica, KS 70466"
25000, 60 months,11.44,549.07,B,B4,Store Manager,10+ years,MORTGAGE,99000,Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,33.01,Jun-81,26,0,29067,39.2,49,w,INDIVIDUAL,3,0,"37658 Pugh Rest
West Patriciatown, WV 30723"
10000, 36 months,8.19,314.25,A,A5,Treasury Analyst ,4 years,RENT,65000,Source Verified,Feb-15,Fully Paid,credit_card,Credit card refinancing,23.19,Dec-03,19,0,20596,73.6,30,w,INDIVIDUAL,0,0,"6900 Scott Motorway
North Jennifer, RI 05113"
23050, 36 months,6.03,701.54,A,A1,,,MORTGAGE,150000,Source Verified,Aug-14,Fully Paid,debt_consolidation,Debt consolidation,11.44,Feb-98,18,0,10201,13.6,67,f,INDIVIDUAL,11,0,"474 Martin Shore Apt. 673
New Joshua, AR 70466"
12000, 36 months,13.11,404.97,B,B4,United Parcel Service,10+ years,RENT,39000,Verified,May-13,Fully Paid,debt_consolidation,Lconsolidate,23.4,Nov-96,8,0,15342,78.3,11,w,INDIVIDUAL,0,0,"96476 Walters Wells Apt. 837
Rileyberg, MD 30723"
15350, 36 months,19.05,563.06,D,D4,Calcasieu parish school board,10+ years,MORTGAGE,72000,Source Verified,Dec-12,Fully Paid,debt_consolidation,Debt consolidation,32.6,Aug-96,10,0,23711,101.8,49,f,INDIVIDUAL,5,0,"703 Miller Pike Suite 175
New David, HI 30723"
9950, 36 months,17.77,358.57,D,D1,CPSI,< 1 year,OWN,30000,Verified,Nov-12,Fully Paid,credit_card,CC Consolidate,12,Jul-01,17,0,11402,87,32,f,INDIVIDUAL,0,0,"217 Bruce Path Suite 029
Port Wendy, SD 70466"
10000, 36 months,14.09,342.22,B,B5,Columbia distributing,6 years,MORTGAGE,65000,Not Verified,Oct-12,Charged Off,other,Acting,26.44,Feb-98,6,0,18652,87.2,8,f,INDIVIDUAL,0,0,"0468 Clark Forest Apt. 691
East Nicholasview, IN 48052"
10000, 36 months,13.11,337.47,B,B4,Denver Water,4 years,RENT,45000,Not Verified,Oct-12,Fully Paid,debt_consolidation,MyLoan,17.31,Oct-00,7,0,9660,76.7,12,f,INDIVIDUAL,2,0,"646 Lewis Flats Suite 893
Ochoaborough, IN 29597"
24000, 60 months,13.33,550.14,C,C3,Field Engineer,10+ years,RENT,70500,Source Verified,Oct-15,Fully Paid,debt_consolidation,Debt consolidation,20.83,Jul-05,8,0,16563,87.2,12,w,INDIVIDUAL,0,0,"95419 Justin Ports Apt. 283
Port Gwendolyn, NH 00813"
11000, 36 months,12.99,370.59,B,B4,Senior Recruiter,10+ years,RENT,90000,Verified,Dec-13,Fully Paid,debt_consolidation,Consolidation,9.69,Aug-67,7,1,10961,74.6,21,f,INDIVIDUAL,0,1,"80071 Shaw Underpass Suite 284
Port Michelleville, AK 00813"
15000, 36 months,15.99,527.29,D,D2,Vice President,7 years,RENT,204018,Verified,Jan-15,Fully Paid,debt_consolidation,Debt consolidation,19.42,Dec-99,14,0,19805,74.2,56,f,INDIVIDUAL,4,0,"25497 Jason Stravenue
Ronaldhaven, UT 30723"
8000, 36 months,18.92,292.93,D,D4,System Administrator,3 years,RENT,85000,Not Verified,Feb-14,Fully Paid,other,Other,19.29,Oct-96,14,0,27856,55.2,28,w,INDIVIDUAL,0,0,"6842 Mcgrath Manors
Josephville, MO 05113"
23225, 60 months,20.75,625.06,E,E2,Peer Support Specialist,5 years,MORTGAGE,52800,Source Verified,Mar-16,Fully Paid,debt_consolidation,Debt consolidation,23.64,Feb-95,9,2,3241,41.6,32,w,INDIVIDUAL,4,2,"8479 Torres Corners Apt. 994
Palmerburgh, TN 70466"
17000, 36 months,10.99,556.48,B,B4,Instructor ,1 year,MORTGAGE,97000,Not Verified,Mar-15,Fully Paid,credit_card,Credit card refinancing,30.15,Sep-01,19,0,16210,68.4,34,w,INDIVIDUAL,2,0,"286 Huang Throughway Apt. 267
New John, AL 22690"
24000, 36 months,13.98,820.04,C,C3,Teacher,6 years,OWN,80000,Source Verified,Oct-14,Fully Paid,debt_consolidation,Debt consolidation,23.13,Nov-03,13,0,10879,72.5,27,f,INDIVIDUAL,0,0,"9499 Williams Island Apt. 062
Aaronstad, PA 00813"
10000, 36 months,10.65,325.74,B,B2,REstoration Technologies,3 years,MORTGAGE,49920,Not Verified,Feb-12,Fully Paid,debt_consolidation,bye bye credit cards,20.17,Jul-01,11,0,8169,61.4,14,f,INDIVIDUAL,,0,"672 Sharon Flats Apt. 725
South Christophertown, ID 48052"
10000, 36 months,12.49,334.49,B,B4,,,MORTGAGE,65000,Verified,Feb-14,Fully Paid,debt_consolidation,Debt consolidation,11.54,Jun-01,8,0,9984,65.3,15,f,INDIVIDUAL,1,0,"5958 Philip Expressway
Port Dylan, PA 00813"
15000, 36 months,18.85,548.71,D,D3,California Travel and Tourism Commission,5 years,MORTGAGE,260000,Verified,Aug-13,Fully Paid,wedding,Short term loan for wedding expenses,14.26,Sep-94,13,0,46675,38.3,34,f,INDIVIDUAL,9,0,"33146 Flores Shoals
Michaelfort, SC 22690"
16000, 36 months,12.99,539.03,C,C1,Manager,10+ years,MORTGAGE,65000,Verified,Jul-14,Fully Paid,medical,Medical expenses,2.98,Aug-06,3,0,7046,82.9,9,w,INDIVIDUAL,1,0,"6624 Jackson Stream
Adamborough, NC 29597"
10200, 36 months,10.59,331.96,B,B2,squeaky clean car wash,6 years,MORTGAGE,38000,Verified,Sep-11,Fully Paid,major_purchase,Arctic spa loan,24.13,Sep-02,11,0,6713,33.9,26,f,INDIVIDUAL,,0,"8007 Jennifer Street Apt. 950
East Stephen, MO 70466"
24000, 36 months,6.62,736.89,A,A2,Air Traffic Controller,5 years,MORTGAGE,107000,Not Verified,Apr-14,Fully Paid,home_improvement,Home improvement,10.97,Oct-01,11,0,21138,46.6,31,f,INDIVIDUAL,6,0,"872 Jeffrey Glens Apt. 899
Sarahfurt, WV 05113"
13475, 36 months,22.99,521.55,F,F1,Technician,2 years,RENT,60000,Source Verified,May-15,Fully Paid,debt_consolidation,Debt consolidation,29.3,Nov-09,13,0,13010,53.3,24,f,INDIVIDUAL,0,0,"296 Jackson Mission
Millerhaven, NM 29597"
25000, 36 months,12.85,840.55,B,B4,,4 years,MORTGAGE,122800,Source Verified,Jan-14,Fully Paid,debt_consolidation,Debt consolidation,14.35,Jul-00,16,0,22869,26.8,25,f,INDIVIDUAL,1,0,"624 Lisa Shores Suite 886
New Madisonshire, NM 05113"
6600, 36 months,9.17,210.41,B,B1,Security Guard,10+ years,RENT,24000,Not Verified,Jun-14,Charged Off,credit_card,Credit card refinancing,10.75,May-97,9,0,7469,51.9,20,f,INDIVIDUAL,0,0,"53544 Dawn Lakes Suite 167
New Brett, MI 70466"
19200, 60 months,19.99,508.58,E,E3,Director,3 years,MORTGAGE,60000,Source Verified,Dec-14,Fully Paid,debt_consolidation,Debt consolidation,15.9,Jun-97,11,0,20118,74.5,26,w,INDIVIDUAL,0,0,"96390 Walker Haven
Pettyburgh, MS 22690"
10000, 60 months,24.08,288.15,F,F2,Unum,10+ years,MORTGAGE,44000,Verified,Oct-13,Charged Off,debt_consolidation,Consolidated Freedom,29.1,Nov-93,11,0,4410,51.9,28,w,INDIVIDUAL,2,0,"91932 Jackson Extension Apt. 649
New Edward, MI 22690"
17400, 36 months,11.39,572.88,B,B3,Landside Officer 1,10+ years,OWN,81000,Not Verified,Oct-16,Fully Paid,other,Other,25.46,Mar-88,28,0,22092,53.5,47,w,INDIVIDUAL,1,0,"031 Marie Green
Robinberg, DC 05113"
9550, 36 months,13.65,324.78,C,C1,CSLM,7 years,RENT,45000,Not Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,15.57,Jul-92,9,1,2472,28,32,w,INDIVIDUAL,0,1,"6787 Laura Road Suite 971
Lake Suzanneton, AK 29597"
19200, 60 months,17.27,479.97,C,C5,Florida Seal & Rubber,5 years,MORTGAGE,67000,Source Verified,Jun-13,Fully Paid,debt_consolidation,Debt consolidation,11.02,Jul-91,7,0,11939,94,17,f,INDIVIDUAL,1,0,"56078 Amber Lock Suite 724
South Chelsea, OR 70466"
3650, 36 months,16.99,130.12,D,D3,Materials Operations Assistant,1 year,RENT,36638,Not Verified,Apr-15,Fully Paid,credit_card,Credit card refinancing,26.24,Feb-03,7,0,36222,55.6,13,f,INDIVIDUAL,0,0,"4786 Mccall Fort
South Amyburgh, VA 05113"
11750, 36 months,17.57,422.27,D,D4,Counselor,10+ years,OWN,49000,Verified,Nov-15,Charged Off,debt_consolidation,Debt consolidation,18.98,Mar-90,12,0,27200,97.1,17,f,INDIVIDUAL,0,0,"044 Garrison Wall
Lopezfort, KY 93700"
10000, 60 months,13.06,227.84,C,C2,Invesco,3 years,RENT,80000,Not Verified,Jan-11,Fully Paid,debt_consolidation,Credit Card Consolidation,15.5,Jan-94,7,0,16247,88.8,24,f,INDIVIDUAL,,0,"6094 Perez Manor
North Sonya, UT 30723"
5375, 36 months,15.61,187.94,C,C3,Server,7 years,RENT,27000,Not Verified,Nov-13,Fully Paid,debt_consolidation,free,6.84,Nov-01,13,0,3639,71.4,15,f,INDIVIDUAL,0,0,"868 Bianca Freeway Suite 644
Kimberlyhaven, NY 30723"
20000, 36 months,6.03,608.72,A,A1,OLIVER WYMAN GROUP,< 1 year,MORTGAGE,115000,Source Verified,Jun-13,Fully Paid,debt_consolidation,Credit Card Debt Consolidation,6.56,May-86,11,0,14304,24.2,19,w,INDIVIDUAL,2,0,"75219 Mark Skyway
South Travis, AR 30723"
20000, 36 months,9.17,637.58,B,B2,Bakery Manager,5 years,MORTGAGE,52800,Source Verified,Feb-15,Fully Paid,credit_card,Credit card refinancing,31.68,Nov-99,14,0,26604,67.5,23,f,INDIVIDUAL,3,0,"9340 Gutierrez Unions Suite 111
Port Keithmouth, MD 30723"
15000, 60 months,14.49,352.85,C,C4,Underwriter,< 1 year,RENT,45000,Source Verified,Oct-14,Charged Off,debt_consolidation,Debt consolidation,29.65,Jun-91,12,1,9850,56.9,26,w,INDIVIDUAL,0,1,"5390 Meyers Canyon
Cindyberg, NH 70466"
10000, 36 months,9.67,321.13,B,B1,driver,1 year,MORTGAGE,100000,Not Verified,Nov-13,Fully Paid,debt_consolidation,Debt consolidation,8.68,Jan-06,11,0,3794,17.1,13,f,INDIVIDUAL,0,0,"98222 Joe Inlet
Jamesshire, TX 70466"
16500, 36 months,8.39,520.03,B,B1,Engineer,10+ years,MORTGAGE,100000,Not Verified,Feb-16,Fully Paid,car,Car financing,25.97,Dec-87,15,1,82,0.2,32,w,INDIVIDUAL,1,1,"298 Jacob Fork
Brooksbury, WV 30723"
7075, 36 months,15.61,247.38,C,C5,Senior Money Processing,10+ years,MORTGAGE,36000,Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,26.43,Jul-96,13,1,9719,56.5,37,f,INDIVIDUAL,7,1,"8099 Jason Plains
New Lindatown, NC 29597"
28000, 36 months,5.32,843.22,A,A1,Senior Tax Manager,5 years,MORTGAGE,162000,Source Verified,Jun-15,Fully Paid,debt_consolidation,Debt consolidation,15.01,Jul-88,19,0,35413,52.2,51,w,INDIVIDUAL,5,0,"00845 Robert Court
Port Brent, CO 70466"
9000, 36 months,8.39,283.65,A,A5,Driver,< 1 year,RENT,56000,Source Verified,Nov-14,Fully Paid,debt_consolidation,Debt consolidation,11.98,Dec-02,8,0,8811,61.6,15,f,INDIVIDUAL,0,0,"81344 Melton Spur Apt. 505
Suttonfort, NY 05113"
15000, 36 months,12.99,505.34,B,B5,Teacher,10+ years,MORTGAGE,78000,Source Verified,Mar-14,Fully Paid,credit_card,Credit card refinancing,10.18,Mar-99,19,0,20545,40.1,56,w,INDIVIDUAL,5,0,"81122 Maldonado Rue
West Larry, NH 29597"
28200, 60 months,21.49,770.7,E,E3,Swarovski,7 years,RENT,64000,Verified,May-13,Fully Paid,debt_consolidation,Personal 2013,4.81,Jul-97,2,0,12,0.1,7,w,INDIVIDUAL,0,0,"76538 Kennedy Common
Stevensfort, CA 05113"
7200, 36 months,16.2,253.85,C,C4,,,RENT,32000,Source Verified,Oct-13,Fully Paid,debt_consolidation,Debt consolidation,15.53,Aug-90,9,1,4508,53,28,f,INDIVIDUAL,0,1,"USNS Porter
FPO AE 05113"
8000, 36 months,6.03,243.49,A,A1,,6 years,MORTGAGE,51000,Not Verified,Jul-12,Fully Paid,home_improvement,Home Love,18.38,Nov-98,10,0,4455,29.9,17,f,INDIVIDUAL,3,0,"30547 Moore Tunnel Suite 238
Wesleyhaven, IL 22690"
12000, 36 months,14.09,410.66,B,B5,Shin Shin,2 years,RENT,50000,Not Verified,Dec-12,Charged Off,credit_card,Credit card refinancing,13.07,Apr-04,9,0,11052,54.7,13,f,INDIVIDUAL,0,0,"270 Jeremiah Walk Suite 464
Lake Paulhaven, NM 11650"
15000, 36 months,10.74,489.24,B,B2,Bradshaw Internationa,5 years,RENT,48000,Source Verified,May-12,Fully Paid,debt_consolidation,debt_consolidation,18.36,Mar-99,11,0,13558,66.5,20,f,INDIVIDUAL,0,0,"31519 David Tunnel Suite 043
North Luke, MN 22690"
2200, 36 months,15.31,76.6,C,C2,,,RENT,57000,Verified,Jan-13,Fully Paid,debt_consolidation,Debt consolidation,28.84,Jan-88,13,0,26552,87.9,15,f,INDIVIDUAL,0,0,"52743 Harris Brooks Apt. 627
East Joshua, ME 30723"
30000, 36 months,18.75,1095.9,D,D3,Converse consulting,5 years,MORTGAGE,95000,Source Verified,Nov-12,Fully Paid,debt_consolidation,Consolidation,10.17,Jun-96,11,0,21083,83.7,27,f,INDIVIDUAL,3,0,"5243 Taylor View Apt. 596
Turnerbury, HI 70466"
2400, 36 months,7.12,74.24,A,A3,interpreter,4 years,MORTGAGE,24000,Not Verified,Sep-14,Fully Paid,credit_card,Credit card refinancing,26.1,Dec-05,7,1,4893,35.5,17,f,INDIVIDUAL,0,1,"3483 White Ports
West Brianberg, TN 48052"
17000, 36 months,10.16,549.83,B,B1,Dept of Trans,4 years,RENT,83000,Verified,Feb-13,Fully Paid,debt_consolidation,Consolidate,15.43,Dec-01,8,0,9422,37.8,25,f,INDIVIDUAL,0,0,"257 Lewis Ford
North Melissa, ID 29597"
15800, 36 months,12.99,532.29,B,B5,Teacher,10+ years,MORTGAGE,104000,Source Verified,Mar-14,Fully Paid,debt_consolidation,Debt consolidation,23.16,Mar-97,9,0,35749,84.7,22,f,INDIVIDUAL,1,0,"4306 Victoria Pass Apt. 220
West Aaron, ID 29597"
15000, 36 months,16.78,533.15,C,C5,Crown tonka walk-in coolers,9 years,OWN,40000,Not Verified,Aug-13,Fully Paid,debt_consolidation,Loan 1,24.7,Mar-86,7,0,14448,86,22,f,INDIVIDUAL,1,0,"94456 Dixon Forest Apt. 941
Lake Christineview, MO 70466"
20000, 60 months,20.99,349.6,F,F3,Unifirst,1 year,RENT,62500,Verified,May-11,Fully Paid,debt_consolidation,Debt Consolidation,15.09,Feb-00,9,1,15838,89.5,50,f,INDIVIDUAL,,1,"537 Patel Creek Apt. 980
Port Jason, NY 30723"
8000, 36 months,14.09,273.78,B,B5,University of Georgia,10+ years,MORTGAGE,45000,Verified,Jan-13,Fully Paid,home_improvement,waterproof crawl space/replace AC,3.92,Feb-01,3,0,4832,81.9,5,f,INDIVIDUAL,0,0,"9972 Hampton Vista
East Edward, TX 29597"
4000, 36 months,18.25,145.12,E,E1,Property Manager,5 years,RENT,41499,Verified,Jul-15,Fully Paid,other,Other,31.59,Jan-07,17,0,8275,44.3,24,w,INDIVIDUAL,0,0,"PSC 8821, Box 2694
APO AE 29597"
6850, 36 months,12.49,229.13,B,B4,Program Manager,5 years,RENT,46574,Source Verified,Apr-14,Fully Paid,credit_card,Debt consolidation,9.33,Dec-99,13,0,6334,26.1,21,w,INDIVIDUAL,0,0,"02859 Charles Prairie
Lake Sierra, OK 29597"
15000, 36 months,18.49,545.99,D,D2,ALEXANDER OILFIELD SERVICE,7 years,MORTGAGE,98000,Verified,May-13,Fully Paid,home_improvement,HOME IMPROVEMENT,24.69,Dec-01,11,1,4958,61.2,22,f,INDIVIDUAL,2,1,"46194 Davis Isle Apt. 614
Aliceside, IN 05113"
12500, 36 months,13.61,424.86,C,C2,SusQtech,< 1 year,RENT,40500,Not Verified,Aug-10,Fully Paid,debt_consolidation,JB 2010 Debt Consolidation Loan,16.36,Oct-03,14,0,7285,41.6,25,f,INDIVIDUAL,,0,"7829 Douglas Knoll Apt. 893
Lake John, VT 00813"
13500, 60 months,17.57,339.67,D,D4,SALES MANAGER,6 years,OWN,89000,Verified,Oct-14,Charged Off,home_improvement,Home improvement,8.36,Oct-03,10,1,8410,46,16,f,INDIVIDUAL,2,1,"14699 Daniel Springs Suite 415
Campbellberg, NM 86630"
12000, 36 months,11.99,398.52,B,B3,Systems Engineer,2 years,MORTGAGE,72000,Verified,Mar-14,Fully Paid,credit_card,Credit card refinancing,9.93,Mar-03,8,0,14454,77.7,13,w,INDIVIDUAL,1,0,"3232 Victor Wall
East Michele, GA 05113"
7700, 36 months,10.15,249,B,B2,Teller ,10+ years,OWN,47000,Source Verified,Jul-14,Charged Off,debt_consolidation,Debt consolidation,27.83,May-96,13,0,9061,27.3,28,f,INDIVIDUAL,0,0,"9607 Erika Pines Apt. 599
Amandaville, LA 22690"
10500, 60 months,14.99,249.74,C,C5,Project Manager,10+ years,MORTGAGE,84000,Not Verified,Nov-14,Charged Off,credit_card,Credit card refinancing,37.31,Feb-99,13,0,30909,58.3,42,w,INDIVIDUAL,5,0,"94150 Walton Station Suite 825
Millermouth, TN 70466"
10000, 36 months,12.73,335.67,C,C1,Oracle Corp,4 years,MORTGAGE,195000,Not Verified,Mar-10,Fully Paid,debt_consolidation,Loan,15.42,Nov-90,21,0,33994,54.5,58,f,INDIVIDUAL,,0,"134 Hansen Junction
West Jason, WA 05113"
1000, 36 months,10.99,32.74,B,B3,Bayside Restaurant,10+ years,OWN,60000,Not Verified,Sep-11,Fully Paid,debt_consolidation,Debt Consolidation Loan,14.76,Oct-99,6,0,22939,95.6,24,f,INDIVIDUAL,,0,"9994 Audrey Fords
Kellyburgh, WA 48052"
15000, 36 months,14.33,515.08,C,C2,Carmel Transportation,10+ years,MORTGAGE,45000,Verified,Aug-13,Fully Paid,debt_consolidation,credit cards,34.37,May-84,17,0,16741,64.1,29,f,INDIVIDUAL,2,0,"23077 Cline Pass
Williamsfort, CA 05113"
16000, 36 months,8.19,502.79,A,A5,Cash Application Clerk,< 1 year,RENT,40000,Verified,Dec-14,Fully Paid,debt_consolidation,Debt consolidation,35.7,Jun-00,22,0,18332,37.8,28,f,INDIVIDUAL,0,0,"004 William Ridges
West Markburgh, ND 22690"
19075, 36 months,13.11,643.73,B,B4,Wilson County Home Health,8 years,MORTGAGE,60000,Not Verified,Oct-12,Fully Paid,debt_consolidation,Debt consolidation,14.14,Dec-96,7,0,12937,70.3,14,f,INDIVIDUAL,1,0,"41914 Graves Port
West Toddview, HI 30723"
10000, 36 months,8.19,314.25,A,A5,E learning designer,6 years,OWN,120000,Not Verified,Jan-15,Charged Off,debt_consolidation,Debt consolidation,5.7,Sep-07,14,0,11740,50.8,23,f,INDIVIDUAL,4,0,"35508 Brown Ridge
Thomasbury, HI 30723"
35000, 60 months,22.99,986.47,F,F1,"Head, Departmental Civil Service Represe",6 years,RENT,92000,Verified,Mar-15,Fully Paid,debt_consolidation,Debt consolidation,14.07,Apr-10,9,0,18203,83.5,11,f,INDIVIDUAL,0,0,"5351 Michelle Mission Suite 255
East Kristinburgh, MI 22690"
5000, 36 months,14.49,172.09,C,C4,Performance Team Leader,6 years,MORTGAGE,59000,Not Verified,May-14,Fully Paid,home_improvement,Home improvement,16.15,Feb-03,14,0,1285,37.8,26,f,INDIVIDUAL,4,0,"53117 Hoffman Causeway Suite 303
Flemingland, OR 29597"
11500, 36 months,13.67,391.21,B,B5,warehouse asistent,10+ years,RENT,35000,Source Verified,Nov-13,Charged Off,credit_card,Credit card refinancing,29.29,May-04,14,0,18815,70.2,24,f,INDIVIDUAL,0,0,"29730 John Points Apt. 108
Port Amandashire, OK 93700"
12000, 36 months,6.49,367.74,A,A2,Sales Manager,< 1 year,RENT,35000,Not Verified,Sep-14,Fully Paid,credit_card,Credit card refinancing,18.55,Jul-05,10,0,4801,16.8,20,w,INDIVIDUAL,0,0,"907 Kelli Islands
Collinsburgh, ME 05113"
20950, 60 months,18.99,543.34,E,E1,buyer,10+ years,MORTGAGE,50000,Source Verified,Oct-14,Fully Paid,home_improvement,Home improvement,29.09,Jan-04,17,0,8025,30.1,37,f,INDIVIDUAL,3,0,"37537 Michelle Canyon
Lake Brian, TX 70466"
9725, 36 months,14.46,334.56,C,C4,Real Estate/Poker professional,6 years,OWN,90000,Not Verified,Jun-16,Charged Off,debt_consolidation,Debt consolidation,26.04,Dec-93,11,0,40009,71.4,18,w,INDIVIDUAL,3,0,"2726 Jackson Rapids
South Bradleyborough, NH 93700"
